gallery_id,title,organ,diagnosis,description,tags
gallery-001,Reaktif lenf nodu,Lenf nodu,Reaktif lenf nodu,,
gallery-002,Plazmasitom,Deri,Plazmasitom,,
gallery-003,Akut apandisit,Appendiks,Akut apandisit,,
gallery-004,Adenokarsinom,Mide,,,
gallery-005,Tübüler adenom,Kalın barsak,,,
gallery-006,GİST,İnce barsak,,,
gallery-007,Hodgkin lenfoma,Lenf nodu,,,
gallery-008,Helikobakter Pilori,Mide,,Toluidin Blue boyası ile mukuslu yüzeyde Helikobakter Pilori'ler,
gallery-009,KLL,Lenf nodu,,,
gallery-010,Artefakt,,,"Preparat ters taranmış, lamel aşağıda, lam yukarıda. Otomatik tarayıcı lamın yüzeyindeki mikroskopik pislikleri net gösteriyor, ancak asıl doku flu. Mikroskopunuzda netleşemiyorsanız lamın alt üst ters koyulduğunu aklınıza getirin.",
gallery-011,Gastrit,Mide,,,
gallery-012,Matur kistik teratom,Over,,,
gallery-013,Meningiom,MSS,,,
gallery-014,Tüberküloz,Lenf nodu,,,
gallery-015,Glioblastom,MSS,,,
gallery-016,Ependimom,MSS,,,
gallery-017,Warthin Tümörü,Parotis,,,
gallery-018,Kronik Kolesistit,Safra kesesi,,,
gallery-019,Kronik pyelonefrit,Böbrek,,,
gallery-020,Pnömoni,Akciğer,,,
gallery-021,Adenokarsinom,Akciğer,,,
gallery-022,Fibrokistik değişiklikler,Meme,,,
gallery-023,İnvaziv meme karsinomu,Meme,,,
gallery-024,Disgerminom,Over,,,
gallery-025,Fibroadenom,Meme,,,
gallery-026,Amfizem,Akciğer,,,
gallery-027,Skuamöz hücreli karsinom,Akciğer,,,
gallery-028,Nazal polip,Nazal mukoza,,,
gallery-029,Akut apandisit,Appendiks,,,
gallery-030,Trombüs,Hemoroid,,,
gallery-031,Yabancı cisim reaksiyonu,Yumuşak doku,,,
gallery-032,Endometrial hiperplazi,Endometrium,,,
gallery-033,Yağlanma,Karaciğer,Karaciğer yağlanması,,
gallery-034,Atrofi,Çizgili kas,Çizgili kas atrofisi,,
gallery-035,Siroz,Karaciğer,Karaciğer Sirozı,,
gallery-036,Hepatosellüller karsinom HCC,Karaciğer,,,
gallery-037,Seminom,Testis,,,
gallery-038,Kist hidatik,Karaciğer,,,
gallery-039,Benign prostat hiperplazisi BPH,Prostat,,,
gallery-040,Adenokarsinom,Prostat,Prostat adenokarsinomu,,
gallery-041,Leiomyosarkom,Uterus,,,
gallery-042,Leiomyom,Uterus,,,
gallery-043,Endoservikal polip,Uterus,,,
gallery-044,Tiroid papiller karsinom,Tiroid,,,
gallery-045,Benign tiroid nodülü,Tiroid,,,
gallery-046,Osteom,Yassı kemik,,,
gallery-047,Lipom,Yumuşak doku,,,
gallery-048,"Peomorfik hücreli sarkom, MFH",Yumuşak doku,,,
gallery-049,Nodüler tenosinovit,Yumuşak doku,,,
gallery-050,Kemiğin dev hücreli tümörü,Kemik,,,
gallery-051,Bazal hücreli karsinom BCC,Deri,,,
gallery-052,Skuamöz hücreli karsinom,Deri,,,
gallery-053,Skuamöz papillom,Uvula,,,
gallery-054,Şeffaf hücreli renal hücreli karsinom,Böbrek,,,
gallery-055,Adenokarsinom,Kalın barsak,,,
gallery-056,Epidermoid kist,Deri,,,
gallery-057,Pepiller ürotelyal karsinom,Mesane,,,
gallery-058,Kromofob renal hücreli karsinom,Böbrek,,,
gallery-059,Liken planus,Deri,,,
gallery-060,Perivasküler dermatit,Deri,,,
gallery-061,Psoriasis,Deri,,,
gallery-062,Kaposi sarkomu,Deri,,,
gallery-063,Dev hücreli vaskülit,Arter,,,
gallery-064,Anjiokeratom,Deri,,,
gallery-065,Pratik slayti 065,,,,
gallery-066,Pratik slayti 066,,,,
gallery-067,Pratik slayti 067,,,,
gallery-068,Pratik slayti 068,,,,
gallery-069,Pratik slayti 069,,,,
gallery-070,Pratik slayti 070,,,,
